"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","temp_psych"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,NA,"Male",38,"short_long"
"long","short","long","There is nothing wrong.",6,4,4,"Male",27,"short_long"
"long","short","long","There is nothing wrong.",6,7,7,"Female",29,"short_long"
"long","short","long","There is nothing wrong.",3,7,7,"Male",32,"short_long"
"long","short","long","There is nothing wrong.",9,4,4,"Female",35,"short_long"
"long","short","long","There is nothing wrong.",4,4,4,"Male",57,"short_long"
"long","short","long","There is nothing wrong.",7,4,4,"Male",23,"short_long"
"long","short","long","There is nothing wrong.",9,5,5,"Female",37,"short_long"
"long","short","long","There is nothing wrong.",7,7,7,"Male",37,"short_long"
"long","short","long","There is nothing wrong.",4,4,4,"Female",31,"short_long"
"long","short","long","There is nothing wrong.",5,7,7,"Female",28,"short_long"
"long","short","long","There is nothing wrong.",4,7,7,"Male",29,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",7,1,4,"Male",37,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",0,1,1,"Female",25,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,7,5,"Female",32,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,4,5,"Female",22,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,3,3,"Male",60,"short_long"
"long","short","long","There is nothing wrong.",6,7,2,"Male",33,"short_long"
"long","short","long","There is nothing wrong.",0,5,6,"Male",30,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",8,1,1,"Female",43,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",6,5,5,"Male",34,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",5,7,7,"Male",22,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,1,1,"Female",25,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,1,1,"Female",23,"short_long"
"long","short","long","There is nothing wrong.",2,3,3,"Female",55,"short_long"
"long","short","long","There is nothing wrong.",6,6,5,"Male",27,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",7,1,1,"Female",39,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",8,4,4,"Female",45,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",1,1,1,"Female",67,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",3,1,1,"Male",35,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",2,2,3,"Female",27,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",9,1,1,"Male",36,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",4,5,7,"Male",30,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",43,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",42,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",10,1,1,"Female",55,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",37,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,1,1,"Female",40,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,4,4,"Male",38,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,1,1,"Female",55,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",7,1,1,"Male",32,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",7,1,1,"Female",42,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,1,1,"Female",32,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",10,1,1,"Male",24,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Male",42,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Female",26,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Female",58,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",34,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Male",25,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",0,1,1,"Female",31,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",7,1,1,"Female",60,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,1,1,"Female",72,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",8,1,1,"Male",32,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Male",29,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",4,3,2,"Female",39,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,2,2,"Female",51,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",10,1,2,"Female",26,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Female",39,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",8,1,1,"Female",41,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",30,"short_long"
"control","short","control","There is nothing wrong.",5,6,6,"Male",24,"control"
"control","short","control","There is nothing wrong.",6,6,6,"Male",22,"control"
"control","short","control","There is nothing wrong.",6,7,7,"Female",27,"control"
"control","short","control","There is nothing wrong.",6,5,5,"Male",30,"control"
"control","short","control","There is nothing wrong.",1,4,4,"Female",39,"control"
"control","short","control","There is nothing wrong.",2,4,4,"Female",52,"control"
"control","short","control","There is nothing wrong.",4,4,4,"Female",32,"control"
"control","short","control","There is nothing wrong.",1,4,4,"Female",42,"control"
"control","short","control","There is nothing wrong.",7,7,7,"Female",59,"control"
"control","short","control","There is nothing wrong.",9,7,7,"Male",63,"control"
"control","short","control","There is nothing wrong.",4,4,4,"Male",38,"control"
"control","short","control","There is nothing wrong.",2,3,4,"Male",37,"control"
"control","short","control","It's wrong but I can't think of a reason.",6,2,2,"Male",30,"control"
"control","short","control","It's wrong but I can't think of a reason.",4,2,2,"Male",30,"control"
"control","short","control","It's wrong but I can't think of a reason.",3,6,6,"Female",30,"control"
"control","short","control","It's wrong and I can provide a valid reason.",4,4,4,"Male",27,"control"
"control","short","control","It's wrong and I can provide a valid reason.",7,2,2,"Female",45,"control"
"control","short","control","It's wrong and I can provide a valid reason.",4,1,1,"Male",31,"control"
"control","short","control","There is nothing wrong.",5,5,6,"Female",60,"control"
"control","short","control","There is nothing wrong.",8,4,4,"Male",55,"control"
"control","short","control","There is nothing wrong.",0,4,4,"Male",37,"control"
"control","short","control","There is nothing wrong.",2,3,3,"Female",30,"control"
"control","short","control","There is nothing wrong.",6,7,4,"Female",55,"control"
"control","short","control","It's wrong and I can provide a valid reason.",1,1,2,"Female",36,"control"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,1,"Male",33,"control"
"control","short","control","It's wrong and I can provide a valid reason.",5,2,2,"Male",25,"control"
"control","short","control","It's wrong and I can provide a valid reason.",2,3,3,"Female",33,"control"
"control","short","control","It's wrong and I can provide a valid reason.",6,6,6,"Male",33,"control"
"control","short","control","There is nothing wrong.",3,3,4,"Female",23,"control"
"control","short","control","There is nothing wrong.",5,5,6,"Female",34,"control"
"control","short","control","It's wrong and I can provide a valid reason.",2,3,3,"Male",31,"control"
"control","short","control","It's wrong and I can provide a valid reason.",0,3,3,"Male",55,"control"
"control","short","control","It's wrong and I can provide a valid reason.",3,1,1,"Female",35,"control"
"control","short","control","There is nothing wrong.",5,3,4,"Male",27,"control"
"control","short","control","There is nothing wrong.",2,2,3,"Female",33,"control"
"control","short","control","There is nothing wrong.",5,4,4,"Female",26,"control"
"control","short","control","There is nothing wrong.",8,3,4,"Male",47,"control"
"control","short","control","It's wrong but I can't think of a reason.",2,1,1,"Male",57,"control"
"control","short","control","It's wrong but I can't think of a reason.",0,3,4,"Male",40,"control"
"control","short","control","It's wrong but I can't think of a reason.",4,1,1,"Female",30,"control"
"control","short","control","It's wrong but I can't think of a reason.",3,7,7,"Male",35,"control"
"control","short","control","It's wrong but I can't think of a reason.",5,3,2,"Male",31,"control"
"control","short","control","It's wrong but I can't think of a reason.",6,1,1,"Female",33,"control"
"control","short","control","It's wrong and I can provide a valid reason.",8,2,2,"Female",41,"control"
"control","short","control","It's wrong and I can provide a valid reason.",6,1,1,"Female",39,"control"
"control","short","control","It's wrong and I can provide a valid reason.",4,2,2,"Female",46,"control"
"control","short","control","It's wrong and I can provide a valid reason.",6,1,1,"Male",44,"control"
"control","short","control","It's wrong and I can provide a valid reason.",7,4,3,"Male",43,"control"
"control","short","control","It's wrong and I can provide a valid reason.",6,1,1,"Female",52,"control"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,1,"Male",37,"control"
"control","short","control","It's wrong and I can provide a valid reason.",9,1,1,"Male",75,"control"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,2,"Female",35,"control"
"control","short","control","It's wrong and I can provide a valid reason.",7,1,1,"Female",46,"control"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,1,"Male",41,"control"
"control","short","control","It's wrong and I can provide a valid reason.",4,1,2,"Female",31,"control"
"control","short","control","It's wrong and I can provide a valid reason.",10,1,1,"Female",65,"control"
"control","short","control","It's wrong and I can provide a valid reason.",3,3,3,"Female",64,"control"
"control","short","control","It's wrong and I can provide a valid reason.",3,2,2,"Female",28,"control"
"control","short","control","It's wrong and I can provide a valid reason.",8,1,1,"Male",26,"control"
"control","short","control","It's wrong and I can provide a valid reason.",7,3,3,"Female",33,"control"
"long","short","long","It's wrong and I can provide a valid reason.",209,2,1,"Female",44,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",180,5,6,"Male",30,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",175,3,2,"Female",33,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",40,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",143,2,2,"Female",39,"short_long"
"long","short","long","There is nothing wrong.",145,4,4,"Male",30,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,2,"Female",30,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",175,3,2,"Male",61,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",171,1,1,"Female",33,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",181,3,1,"Male",42,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",148,1,1,"Female",28,"short_long"
"long","short","long",NA,NA,5,NA,"Male",26,"short_long"
"long","short","long",NA,NA,4,NA,"Female",46,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",168,7,1,"Female",52,"short_long"
"long","short","long",NA,NA,1,NA,"Female",49,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",146,1,2,"Female",24,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",168,2,2,"Female",64,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,7,NA,"Female",28,"short_long"
"long","short","long","There is nothing wrong.",206,6,6,"Male",37,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,NA,"Female",30,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",124,1,1,"Male",51,"short_long"
"long","short","long",NA,NA,4,NA,"Male",25,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",NA,2,1,"Male",27,"short_long"
"long","short","long","There is nothing wrong.",NA,4,7,"Male",19,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",206,1,1,"Female",29,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",172,1,1,"Female",30,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",NA,1,3,"Male",37,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",54,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Male",33,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",162,1,1,"Male",43,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",160,5,1,"Female",31,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,NA,"Male",83,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,2,2,"Male",23,"short_long"
"long","short","long",NA,NA,NA,NA,"Male",33,"short_long"
"long","short","long","It's wrong but I can't think of a reason.",157,1,2,"Female",25,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,7,6,"Female",30,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,1,"Female",51,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",192,1,1,"Female",26,"short_long"
"long","short","long","It's wrong and I can provide a valid reason.",166,3,4,"Male",48,"short_long"
"control","short","control","It's wrong but I can't think of a reason.",NA,3,3,"Male",30,"control"
"control","short","control","It's wrong and I can provide a valid reason.",150,1,1,"Female",54,"control"
"control","short","control",NA,NA,5,NA,"Male",25,"control"
"control","short","control","There is nothing wrong.",144,7,7,"Male",50,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Male",45,"control"
"control","short","control","There is nothing wrong.",NA,5,6,"Male",41,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,2,1,"Female",37,"control"
"control","short","control","It's wrong and I can provide a valid reason.",146,1,1,"Male",72,"control"
"control","short","control","There is nothing wrong.",197,5,6,"Male",50,"control"
"control","short","control","There is nothing wrong.",124,7,7,"Male",38,"control"
"control","short","control","It's wrong and I can provide a valid reason.",155,1,1,"Male",44,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Male",55,"control"
"control","short","control","There is nothing wrong.",NA,4,4,"Male",28,"control"
"control","short","control",NA,NA,1,NA,"Female",44,"control"
"control","short","control","It's wrong and I can provide a valid reason.",157,1,1,"Male",41,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Male",55,"control"
"control","short","control",NA,NA,NA,NA,"Female",39,"control"
"control","short","control","There is nothing wrong.",217,7,7,"Male",59,"control"
"control","short","control","It's wrong but I can't think of a reason.",170,1,2,"Female",29,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Female",43,"control"
"control","short","control",NA,NA,NA,NA,"Male",30,"control"
"control","short","control","There is nothing wrong.",147,2,1,"Male",33,"control"
"control","short","control",NA,NA,1,NA,"Male",47,"control"
"control","short","control","There is nothing wrong.",NA,5,5,"Male",21,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,7,7,"Female",32,"control"
"control","short","control","It's wrong and I can provide a valid reason.",145,1,1,"Male",28,"control"
"control","short","control","It's wrong and I can provide a valid reason.",151,1,1,"Male",39,"control"
"control","short","control","It's wrong and I can provide a valid reason.",165,1,1,"Female",35,"control"
"control","short","control","It's wrong and I can provide a valid reason.",180,1,1,"Male",62,"control"
"control","short","control","It's wrong and I can provide a valid reason.",139,1,1,"Female",21,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Female",43,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Female",29,"control"
"control","short","control","It's wrong and I can provide a valid reason.",177,1,1,"Male",34,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Female",42,"control"
"control","short","control","There is nothing wrong.",218,4,4,"Female",25,"control"
"control","short","control",NA,NA,NA,NA,"Female",43,"control"
"control","short","control","It's wrong and I can provide a valid reason.",NA,1,1,"Female",32,"control"
"short","short","long","There is nothing wrong.",NA,1,3,"Female",30,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",190,1,1,"Female",43,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",155,1,1,"Male",60,"short_long"
"short","short","long","There is nothing wrong.",143,6,7,"Female",30,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",168,1,1,"Female",36,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",NA,4,1,"Female",33,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",141,2,2,"Male",34,"short_long"
"short","short","long","There is nothing wrong.",119,5,5,"Male",28,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",208,1,1,"Female",36,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",187,1,1,"Female",69,"short_long"
