"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","temp_psych"
"long","short","long","It's wrong and I can provide a valid reason.",NA,1,NA,"Male",38,"wrong","wrong","wrong","wrong","wrong",NA,FALSE,FALSE,FALSE,FALSE,NA,"control_long"
"long","short","long","There is nothing wrong.",6,4,4,"Male",27,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",6,7,7,"Female",29,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",3,7,7,"Male",32,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",9,4,4,"Female",35,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",4,4,4,"Male",57,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",7,4,4,"Male",23,"not wrong","wrong","wrong","wrong","not wrong","not wrong",TRUE,FALSE,FALSE,TRUE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",9,5,5,"Female",37,"not wrong","wrong","wrong","not wrong","not wrong","not wrong",TRUE,FALSE,TRUE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",7,7,7,"Male",37,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",4,4,4,"Female",31,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",5,7,7,"Female",28,"not wrong","wrong","not wrong","not wrong","not wrong","not wrong",TRUE,TRUE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",4,7,7,"Male",29,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong but I can't think of a reason.",7,1,4,"Male",37,"wrong","wrong","not wrong","not wrong","wrong","not wrong",FALSE,TRUE,FALSE,TRUE,TRUE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",0,1,1,"Female",25,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,7,5,"Female",32,"not wrong","wrong","not wrong","not wrong","wrong","not wrong",TRUE,TRUE,FALSE,TRUE,TRUE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,4,5,"Female",22,"not wrong","wrong","not wrong","wrong","wrong","not wrong",TRUE,TRUE,TRUE,FALSE,TRUE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,3,3,"Male",60,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","There is nothing wrong.",6,7,2,"Male",33,"not wrong","not wrong","wrong","wrong","not wrong","wrong",FALSE,TRUE,FALSE,TRUE,TRUE,"control_long"
"long","short","long","There is nothing wrong.",0,5,6,"Male",30,"not wrong","not wrong","wrong","not wrong","not wrong","not wrong",FALSE,TRUE,TRUE,FALSE,FALSE,"control_long"
